customerID,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
0022-TCJCI,3/1/2016,12/1/2019 0:00,One year,0,Credit card (automatic),62.7,2791.5,0,1,0,0,0,DSL,1,0,1,0,0,1,1
0023-HGHWL,10/1/2019,11/1/2019 0:00,Month-to-month,1,Electronic check,25.1,25.1,0,1,0,0,-1,DSL,0,0,0,0,0,0,1
0023-UYUPN,12/1/2015,No,One year,0,Electronic check,25.2,1306.3,1,1,1,0,1,No,-1,-1,-1,-1,-1,-1,0
0023-XUOPT,10/1/2018,11/1/2019 0:00,Month-to-month,0,Electronic check,94.1,1215.6,1,0,1,0,1,Fiber optic,0,1,1,0,1,0,1
0027-KWYKW,3/1/2018,No,Month-to-month,1,Electronic check,83.75,1849.95,1,0,1,1,1,Fiber optic,0,0,0,0,1,0,0
0030-FNXPP,11/1/2019,No,Month-to-month,0,Mailed check,19.85,57.2,1,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0031-PVLZI,9/1/2019,1/1/2020 0:00,Month-to-month,0,Mailed check,20.35,76.35,1,0,1,1,0,No,-1,-1,-1,-1,-1,-1,1
0032-PGELS,10/1/2019,11/1/2019 0:00,Month-to-month,0,Bank transfer (automatic),30.5,30.5,1,0,1,1,-1,DSL,1,0,0,0,0,0,1
0036-IHMOT,7/1/2015,No,One year,1,Bank transfer (automatic),103.7,5656.75,1,0,1,1,0,Fiber optic,0,1,1,1,1,1,0
0040-HALCW,8/1/2015,No,Two year,0,Credit card (automatic),20.4,1090.6,0,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0042-JVWOJ,12/1/2017,No,One year,1,Bank transfer (automatic),19.6,471.85,0,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0042-RLHYP,5/1/2014,No,Two year,0,Bank transfer (automatic),19.7,1396.9,1,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0048-LUMLS,1/1/2017,No,One year,0,Credit card (automatic),91.2,3247.55,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,0
0048-PIHNL,1/1/2016,No,One year,0,Bank transfer (automatic),20.45,900.9,1,0,1,0,0,No,-1,-1,-1,-1,-1,-1,0
0052-DCKON,8/1/2014,No,One year,0,Bank transfer (automatic),115.8,7942.15,0,0,1,0,1,Fiber optic,1,1,1,1,1,1,0
0052-YNYOT,7/1/2014,No,One year,0,Electronic check,20.55,1343.4,1,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0056-EPFBG,6/1/2018,No,Two year,1,Credit card (automatic),39.4,825.4,0,0,1,1,-1,DSL,1,0,1,1,0,0,0
0057-QBUQH,7/1/2016,No,Two year,1,Electronic check,25.1,1070.15,1,0,0,1,1,No,-1,-1,-1,-1,-1,-1,0
0058-EVZWM,7/1/2015,No,Month-to-month,1,Bank transfer (automatic),89.8,4959.6,1,0,1,0,1,Fiber optic,1,0,0,0,1,0,0
0060-FUALY,3/1/2015,No,Month-to-month,1,Electronic check,94.75,5597.65,1,0,1,0,1,Fiber optic,1,1,0,0,1,0,0
0064-SUDOG,2/1/2019,No,Two year,0,Bank transfer (automatic),20.3,224.5,1,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0064-YIJGF,11/1/2017,No,Month-to-month,1,Bank transfer (automatic),75.75,1929,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,0
0067-DKWBL,10/1/2019,12/1/2019 0:00,Month-to-month,1,Electronic check,49.25,91.1,0,1,0,0,0,DSL,1,0,0,0,0,0,1
0068-FIGTF,11/1/2017,No,One year,0,Mailed check,78.2,2078.95,1,0,0,0,0,DSL,0,1,1,1,1,1,0
0071-NDAFP,1/1/2018,No,Two year,0,Credit card (automatic),25.5,630.6,0,0,1,1,1,No,-1,-1,-1,-1,-1,-1,0
0074-HDKDG,1/1/2018,No,One year,1,Bank transfer (automatic),61.6,1611,0,0,1,1,0,DSL,1,1,1,0,0,0,0
0076-LVEPS,9/1/2017,No,Month-to-month,1,Mailed check,45,1242.45,0,0,0,1,-1,DSL,1,1,1,1,0,0,0
0078-XZMHT,2/1/2014,No,Two year,1,Bank transfer (automatic),85.15,6316.2,0,0,1,0,1,DSL,0,1,1,1,1,1,0
0080-EMYVY,12/1/2018,No,One year,0,Credit card (automatic),51.45,727.85,1,0,0,0,0,DSL,0,1,0,0,0,0,0
0080-OROZO,3/1/2017,No,One year,1,Electronic check,99.25,3532,1,0,0,0,0,Fiber optic,0,0,1,1,1,1,0
0082-LDZUE,1/1/2020,No,Month-to-month,1,Mailed check,44.3,44.3,0,0,0,0,0,DSL,0,0,0,0,0,0,0
0082-OQIQY,9/1/2017,No,Month-to-month,1,Electronic check,94.2,2607.6,0,0,0,0,0,Fiber optic,0,0,0,1,1,1,0
0083-PIVIK,10/1/2014,No,One year,0,Electronic check,81.25,5567.55,0,0,0,0,1,DSL,1,1,1,1,1,0,0
0089-IIQKO,11/1/2016,No,Month-to-month,1,Credit card (automatic),99.95,3767.4,1,0,1,1,1,Fiber optic,0,0,0,1,1,1,0
0093-EXYQL,10/1/2016,No,Month-to-month,1,Electronic check,91.55,3673.6,1,1,0,0,0,Fiber optic,0,0,0,0,1,1,0
0093-XWZFY,9/1/2016,1/1/2020 0:00,Month-to-month,1,Credit card (automatic),104.5,4036.85,0,0,0,0,1,Fiber optic,0,1,1,0,1,1,1
0094-OIFMO,12/1/2018,11/1/2019 0:00,Month-to-month,1,Electronic check,95,1120.3,1,1,0,0,0,Fiber optic,0,1,0,0,1,1,1
0096-BXERS,8/1/2019,No,Month-to-month,0,Electronic check,50.35,314.55,1,0,1,0,1,DSL,0,0,0,0,0,0,0
0096-FCPUF,8/1/2017,No,Month-to-month,1,Mailed check,64.5,1888.45,0,0,0,0,1,DSL,1,0,0,0,0,1,0
0098-BOWSO,11/1/2017,No,Month-to-month,1,Electronic check,19.4,529.8,0,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0100-DUVFC,4/1/2014,No,One year,1,Electronic check,104.8,7308.95,0,1,1,0,1,Fiber optic,0,1,1,0,1,1,0
0103-CSITQ,5/1/2015,No,One year,1,Bank transfer (automatic),109.4,6252.7,1,0,1,0,1,Fiber optic,0,1,1,1,1,1,0
0104-PPXDV,4/1/2015,No,One year,0,Credit card (automatic),50.3,2878.55,0,0,1,0,0,DSL,0,0,1,0,0,0,0
0106-GHRQR,10/1/2018,No,Month-to-month,1,Bank transfer (automatic),71.4,1212.1,0,0,0,0,1,DSL,0,1,1,0,0,1,0
0106-UGRDO,5/1/2014,No,Two year,1,Electronic check,116,8182.85,1,0,1,0,1,Fiber optic,1,1,1,1,1,1,0
0107-WESLM,9/1/2019,10/1/2019 0:00,Month-to-month,1,Electronic check,19.85,19.85,0,0,0,0,0,No,-1,-1,-1,-1,-1,-1,1
0107-YHINA,10/1/2019,11/1/2019 0:00,Month-to-month,1,Electronic check,99.75,99.75,0,0,0,1,1,Fiber optic,0,0,1,0,1,1,1
0111-KLBQG,6/1/2017,No,Month-to-month,1,Mailed check,93.95,2861.45,0,1,1,1,0,Fiber optic,0,1,0,0,1,1,0
0112-QAWRZ,10/1/2018,No,Month-to-month,1,Bank transfer (automatic),90.8,1442.2,0,0,1,1,1,Fiber optic,0,0,1,0,1,0,0
0112-QWPNC,10/1/2015,11/1/2019 0:00,One year,0,Electronic check,84.35,4059.35,0,0,1,0,1,DSL,1,0,1,1,1,1,1
0114-IGABW,3/1/2014,No,Two year,0,Bank transfer (automatic),58.25,4145.9,1,0,1,0,-1,DSL,0,1,1,1,1,1,0
0114-PEGZZ,5/1/2017,No,Month-to-month,0,Electronic check,107.55,3645.5,1,0,0,0,1,Fiber optic,0,1,1,0,1,1,0
0114-RSRRW,4/1/2019,No,Month-to-month,1,Bank transfer (automatic),19.95,187.75,1,0,1,0,0,No,-1,-1,-1,-1,-1,-1,0
0115-TFERT,2/1/2018,11/1/2019 0:00,Month-to-month,1,Electronic check,111.2,2317.1,0,0,1,0,1,Fiber optic,0,1,1,1,1,1,1
0117-LFRMW,9/1/2016,10/1/2019 0:00,Month-to-month,0,Bank transfer (automatic),40.2,1448.8,0,0,1,1,-1,DSL,1,1,1,0,0,0,1
0118-JPNOY,12/1/2017,No,Month-to-month,1,Credit card (automatic),85.8,2193.65,1,1,0,0,0,Fiber optic,1,0,0,0,1,0,0
0121-SNYRK,12/1/2015,No,One year,1,Mailed check,35.4,1748.9,0,0,0,0,-1,DSL,1,0,0,1,0,0,0
0122-OAHPZ,5/1/2019,12/1/2019 0:00,Month-to-month,1,Electronic check,73.85,511.25,1,0,0,0,1,Fiber optic,0,0,0,0,0,0,1
0123-CRBRT,1/1/2015,No,Two year,0,Mailed check,88.1,5526.75,1,0,1,1,1,DSL,1,1,1,1,1,1,0
0125-LZQXK,7/1/2018,10/1/2019 0:00,Month-to-month,1,Electronic check,101.35,1553.95,0,0,0,0,0,Fiber optic,0,0,1,1,1,1,1
0128-MKWSG,12/1/2017,No,Month-to-month,0,Mailed check,45.8,1147,1,0,0,1,-1,DSL,1,0,0,1,0,1,0
0129-KPTWJ,2/1/2014,No,Month-to-month,1,Electronic check,94.65,6747.35,0,0,1,0,0,Fiber optic,0,0,1,0,1,1,0
0129-QMPDR,6/1/2016,No,One year,1,Bank transfer (automatic),20.5,865.05,0,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0130-SXOUN,8/1/2014,No,Month-to-month,0,Credit card (automatic),89.4,5976.9,0,0,0,0,1,Fiber optic,0,1,0,0,0,1,0
0133-BMFZO,10/1/2019,12/1/2019 0:00,Month-to-month,1,Electronic check,86.25,181.65,1,0,0,0,0,Fiber optic,1,1,0,1,0,0,1
0134-XWXCE,6/1/2016,No,One year,0,Bank transfer (automatic),74.85,3268.05,1,1,0,0,0,DSL,0,0,1,1,1,1,0
0135-NMXAP,11/1/2018,11/1/2019 0:00,Month-to-month,1,Bank transfer (automatic),89.75,1052.4,1,0,0,0,1,Fiber optic,0,1,0,0,1,0,1
0136-IFMYD,5/1/2014,No,Two year,1,Electronic check,109.95,7634.25,0,1,1,0,1,Fiber optic,0,1,1,1,1,1,0
0137-OCGAB,10/1/2019,11/1/2019 0:00,Month-to-month,1,Mailed check,80.2,80.2,1,0,0,0,1,Fiber optic,0,1,0,0,0,0,1
0137-UDEUO,8/1/2019,11/1/2019 0:00,Month-to-month,0,Mailed check,19.85,63.75,1,0,0,0,0,No,-1,-1,-1,-1,-1,-1,1
0139-IVFJG,12/1/2019,No,Month-to-month,0,Electronic check,90.35,190.5,1,0,1,0,0,Fiber optic,1,1,0,0,1,0,0
0141-YEAYS,11/1/2017,No,Month-to-month,1,Bank transfer (automatic),86.45,2401.05,1,1,0,0,1,Fiber optic,0,1,1,0,0,0,0
0142-GVYSN,12/1/2017,No,Month-to-month,1,Electronic check,20.3,511.25,0,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0147-ESWWR,11/1/2016,No,Month-to-month,1,Electronic check,101.25,3949.15,1,1,1,0,1,Fiber optic,0,0,0,1,1,1,0
0148-DCDOS,9/1/2017,10/1/2019 0:00,Month-to-month,1,Bank transfer (automatic),94.7,2362.1,0,0,0,0,1,Fiber optic,0,0,0,0,1,1,1
0151-ONTOV,11/1/2019,12/1/2019 0:00,Month-to-month,0,Mailed check,70.9,70.9,1,0,0,0,0,Fiber optic,0,0,0,0,0,0,1
0156-FVPTA,1/1/2018,11/1/2019 0:00,Month-to-month,1,Electronic check,54.2,1152.7,0,0,1,0,0,DSL,1,0,0,1,0,0,1
0164-APGRB,2/1/2014,No,Two year,1,Electronic check,114.9,8496.7,1,0,0,0,1,Fiber optic,1,1,1,1,1,1,0
0164-XAIRP,2/1/2018,No,Two year,1,Bank transfer (automatic),19.55,470.2,1,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0168-XZKBB,7/1/2018,No,Month-to-month,1,Electronic check,86.85,1564.4,1,0,1,0,1,Fiber optic,0,0,0,0,1,0,0
0174-QRVVY,3/1/2014,No,Two year,0,Credit card (automatic),25.35,1847.55,0,0,1,1,1,No,-1,-1,-1,-1,-1,-1,0
0177-PXBAT,5/1/2017,No,Month-to-month,1,Bank transfer (automatic),109.9,3694.7,0,1,1,0,1,Fiber optic,1,0,1,1,1,1,0
0178-CIIKR,11/1/2019,No,Month-to-month,0,Mailed check,19.95,58,1,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0178-SZBHO,3/1/2016,No,Month-to-month,0,Electronic check,87.2,4017.45,0,0,1,1,1,Fiber optic,0,1,0,0,1,0,0
0181-RITDD,12/1/2014,No,Two year,0,Mailed check,108.15,6825.65,0,0,1,1,0,Fiber optic,1,1,1,1,1,1,0
0186-CAERR,3/1/2014,No,One year,1,Bank transfer (automatic),116.3,8309.55,0,0,0,0,1,Fiber optic,1,1,1,1,1,1,0
0187-QSXOE,7/1/2019,No,Month-to-month,1,Electronic check,89,605.45,0,1,1,0,0,Fiber optic,0,0,0,0,1,1,0
0187-WZNAB,11/1/2017,No,Month-to-month,0,Mailed check,74.4,1972.35,1,0,1,1,0,Fiber optic,1,0,0,0,0,0,0
0188-GWFLE,12/1/2019,No,Month-to-month,0,Mailed check,20.05,33.7,0,0,0,0,0,No,-1,-1,-1,-1,-1,-1,0
0191-EQUUH,1/1/2018,No,Two year,0,Bank transfer (automatic),35.05,844.45,1,0,0,1,-1,DSL,1,0,0,1,0,0,0
0191-ZHSKZ,8/1/2017,No,Month-to-month,1,Electronic check,74.75,2111.3,0,1,0,0,0,DSL,1,1,0,0,1,1,0
0193-ESZXP,12/1/2014,10/1/2019 0:00,One year,1,Credit card (automatic),105.5,6205.5,1,1,1,0,0,Fiber optic,1,1,0,1,1,1,1
0195-IESCP,3/1/2019,1/1/2020 0:00,Month-to-month,1,Electronic check,85.25,855.3,0,0,1,0,1,Fiber optic,0,0,0,0,0,1,1
0196-JTUQI,5/1/2019,No,Month-to-month,1,Credit card (automatic),75.2,633.85,1,0,0,0,1,Fiber optic,0,0,0,0,0,0,0
0196-VULGZ,6/1/2019,12/1/2019 0:00,Month-to-month,1,Electronic check,84.35,474.9,1,1,1,0,1,Fiber optic,0,0,0,0,0,1,1
0197-PNKNK,5/1/2014,No,One year,0,Bank transfer (automatic),84.45,5848.6,1,0,1,1,1,Fiber optic,1,0,1,0,0,0,0
0201-MIBOL,8/1/2014,No,Two year,1,Bank transfer (automatic),102.4,6471.85,1,1,0,0,1,Fiber optic,1,0,0,0,1,1,0
0201-OAMXR,1/1/2014,11/1/2019 0:00,One year,0,Credit card (automatic),115.55,8127.6,1,0,0,0,1,Fiber optic,1,1,1,1,1,1,1
0203-HHYIJ,9/1/2017,10/1/2019 0:00,One year,0,Bank transfer (automatic),25.3,676.35,0,0,0,0,1,No,-1,-1,-1,-1,-1,-1,1
0206-OYVOC,4/1/2016,No,Two year,1,Mailed check,19.25,864.2,1,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0206-TBWLC,8/1/2015,No,One year,1,Mailed check,114.65,6049.5,1,0,1,0,1,Fiber optic,1,1,1,1,1,1,0
0207-MDKNV,8/1/2018,11/1/2019 0:00,Month-to-month,0,Electronic check,105.1,1582.75,1,0,0,0,0,Fiber optic,1,0,1,1,1,1,1
0208-BPQEJ,2/1/2019,No,Month-to-month,0,Bank transfer (automatic),19.4,198.1,1,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0212-ISBBF,4/1/2018,No,Month-to-month,1,Electronic check,50.35,1098.85,1,0,0,0,-1,DSL,0,1,0,0,1,1,0
0214-JHPFW,4/1/2014,No,Two year,0,Bank transfer (automatic),57.8,4039.3,1,0,1,0,-1,DSL,0,1,1,1,1,1,0
0215-BQKGS,8/1/2017,No,Month-to-month,1,Credit card (automatic),84.3,2438.6,0,0,0,0,0,Fiber optic,1,1,1,0,0,0,0
0218-QNVAS,3/1/2014,No,One year,0,Bank transfer (automatic),100.55,7113.75,0,0,1,1,1,Fiber optic,0,1,0,0,1,1,0
0219-QAERP,8/1/2017,No,One year,0,Credit card (automatic),19.8,576.65,0,0,1,0,0,No,-1,-1,-1,-1,-1,-1,0
0219-YTZUE,7/1/2019,11/1/2019 0:00,Month-to-month,1,Bank transfer (automatic),84.8,371.9,0,0,1,1,1,Fiber optic,0,1,1,0,0,0,1
0220-EBGCE,9/1/2019,11/1/2019 0:00,Month-to-month,1,Electronic check,85.85,167.3,0,0,0,0,0,Fiber optic,0,0,1,0,0,1,1
0221-NAUXK,4/1/2019,No,One year,1,Bank transfer (automatic),19.95,219.5,0,0,0,1,0,No,-1,-1,-1,-1,-1,-1,0
0221-WMXNQ,10/1/2019,No,Month-to-month,0,Electronic check,75.35,273.4,0,1,0,0,0,Fiber optic,1,0,0,0,0,0,0
0222-CNVPT,10/1/2015,No,Month-to-month,1,Credit card (automatic),48.8,2555.05,0,1,0,0,-1,DSL,1,0,0,0,1,1,0
0224-HJAPT,5/1/2019,10/1/2019 0:00,Month-to-month,0,Electronic check,47.15,223.15,0,0,0,0,1,DSL,0,0,0,0,0,0,1
0224-NIJLP,6/1/2019,No,Two year,0,Mailed check,20.15,165.5,0,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0224-RLWWD,12/1/2019,No,Month-to-month,1,Electronic check,44.3,89.3,1,1,0,0,0,DSL,0,0,0,0,0,0,0
0225-ZORZP,11/1/2019,No,Month-to-month,0,Electronic check,84.3,235.05,0,0,0,0,0,Fiber optic,0,1,0,0,0,1,0
0228-MAUWC,7/1/2018,No,Month-to-month,0,Electronic check,59.55,1144.6,0,0,0,0,1,DSL,0,0,1,1,0,0,0
0229-LFJAF,2/1/2014,No,Two year,0,Bank transfer (automatic),69.65,4908.25,0,0,0,0,1,DSL,1,1,1,1,0,0,0
0230-UBYPQ,11/1/2014,No,One year,0,Bank transfer (automatic),36.1,2298.9,0,1,1,0,-1,DSL,1,0,0,1,0,0,0
0230-WEQUW,8/1/2014,No,Two year,1,Bank transfer (automatic),56.6,3789.2,0,0,1,0,-1,DSL,1,1,1,1,1,0,0
0231-LXVAP,11/1/2019,12/1/2019 0:00,Month-to-month,1,Electronic check,75.9,75.9,0,0,0,0,0,Fiber optic,0,0,0,1,0,0,1
0233-FTHAV,2/1/2015,No,One year,1,Bank transfer (automatic),79.2,4765,1,0,0,0,1,Fiber optic,0,0,1,0,0,0,0
0234-TEVTT,2/1/2016,No,One year,0,Credit card (automatic),45,2196.3,1,0,1,1,-1,DSL,1,0,1,0,0,1,0
0235-KGSLC,12/1/2019,1/1/2020 0:00,Month-to-month,1,Credit card (automatic),85.55,85.55,1,0,0,0,0,Fiber optic,0,0,1,0,1,0,1
0236-HFWSV,8/1/2018,11/1/2019 0:00,Month-to-month,1,Electronic check,93.35,1444.65,0,0,0,0,1,Fiber optic,0,0,0,0,1,1,1
0237-YFUTL,12/1/2015,No,Month-to-month,1,Bank transfer (automatic),109.65,5405.8,1,0,1,0,1,Fiber optic,1,1,0,1,1,1,0
0238-WHBIQ,2/1/2014,No,Two year,0,Credit card (automatic),89.7,6339.3,0,0,1,1,1,DSL,1,1,1,1,1,1,0
0239-OXEXL,4/1/2016,No,Month-to-month,0,Mailed check,84.25,3847.6,1,0,0,0,1,Fiber optic,1,1,0,0,0,0,0
0244-LGNFY,2/1/2014,No,Two year,0,Bank transfer (automatic),92.65,6733,1,0,1,1,1,DSL,1,1,1,1,1,1,0
0247-SLUJI,1/1/2020,No,Month-to-month,0,Mailed check,19.7,19.7,0,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0248-IPDFW,1/1/2020,No,Month-to-month,1,Electronic check,50.1,50.1,1,0,0,0,1,DSL,0,0,0,0,0,0,0
0248-PGHBZ,7/1/2014,No,Two year,1,Bank transfer (automatic),92.45,6140.85,1,1,0,0,0,Fiber optic,1,1,0,1,1,0,0
0253-ZTEOB,2/1/2016,No,Two year,0,Electronic check,79.65,3870.3,1,0,1,1,1,DSL,0,1,0,1,1,1,0
0254-FNMCI,2/1/2014,No,Two year,1,Electronic check,109.9,7624.2,1,0,0,0,0,Fiber optic,1,1,1,1,1,1,0
0254-KCJGT,10/1/2015,No,One year,1,Credit card (automatic),81.4,4354.45,0,0,1,0,1,DSL,1,1,1,1,0,1,0
0254-WWRKD,7/1/2014,No,One year,0,Credit card (automatic),50.55,3431.75,1,0,1,1,0,DSL,0,1,0,0,0,0,0
0256-LTHVJ,6/1/2017,10/1/2019 0:00,Month-to-month,1,Electronic check,81.05,2227.1,1,0,1,1,0,Fiber optic,0,0,0,0,0,1,1
0257-KXZGU,6/1/2017,No,Month-to-month,0,Bank transfer (automatic),62.45,2045.55,1,0,1,1,1,DSL,0,1,1,0,0,0,0
0257-ZESQC,7/1/2017,10/1/2019 0:00,Month-to-month,1,Bank transfer (automatic),75.2,1929.35,1,1,1,0,0,Fiber optic,1,0,0,0,0,0,1
0258-NOKBL,11/1/2019,No,Month-to-month,0,Electronic check,90.4,268.45,0,0,0,0,0,Fiber optic,0,1,1,0,0,1,0
0259-GBZSH,8/1/2019,10/1/2019 0:00,Month-to-month,1,Electronic check,85.65,181.5,0,0,0,0,1,Fiber optic,0,0,0,0,1,0,1
0260-ZDLGK,1/1/2019,10/1/2019 0:00,Month-to-month,1,Mailed check,72.9,651.4,1,0,0,1,0,DSL,0,0,1,1,1,1,1
0263-FJTQO,12/1/2015,No,Two year,1,Credit card (automatic),70.5,3486.65,0,0,1,1,1,DSL,1,0,0,1,1,0,0
0264-CNITK,3/1/2014,No,Two year,0,Bank transfer (automatic),20.1,1389.6,1,0,1,1,0,No,-1,-1,-1,-1,-1,-1,0
0265-EDXBD,4/1/2017,12/1/2019 0:00,Month-to-month,1,Electronic check,74.9,2303.35,0,1,1,0,1,Fiber optic,0,0,0,0,0,0,1
0265-PSUAE,10/1/2018,No,Month-to-month,0,Bank transfer (automatic),100.7,1522.7,1,0,1,1,0,Fiber optic,1,0,1,0,1,1,0
0266-CLZKZ,7/1/2014,No,Two year,1,Bank transfer (automatic),105.65,6717.9,1,0,1,1,1,Fiber optic,0,0,1,1,1,1,0
0266-GMEAO,2/1/2014,No,Two year,1,Credit card (automatic),114.3,8058.55,0,0,1,1,1,Fiber optic,1,1,1,1,1,1,0
0268-QKIWO,9/1/2019,12/1/2019 0:00,Month-to-month,0,Electronic check,19.75,58.85,1,0,0,0,0,No,-1,-1,-1,-1,-1,-1,1
0269-XFESX,3/1/2018,No,One year,0,Mailed check,24.35,538.5,0,0,1,1,1,No,-1,-1,-1,-1,-1,-1,0
0270-THENM,2/1/2014,No,Two year,0,Bank transfer (automatic),69.85,5102.35,0,0,1,1,1,DSL,1,1,1,1,0,0,0
0274-JKUJR,7/1/2019,No,Month-to-month,0,Mailed check,58.85,465.7,0,0,1,1,-1,DSL,1,1,1,0,1,1,0
0277-BKSQP,6/1/2019,No,Month-to-month,1,Electronic check,54.4,475.1,0,0,1,1,0,DSL,0,0,0,0,1,0,0
0277-ORXQS,8/1/2014,No,Two year,0,Bank transfer (automatic),50.55,3364.55,0,0,1,1,-1,DSL,0,0,0,1,1,1,0
0278-YXOOG,6/1/2019,11/1/2019 0:00,Month-to-month,0,Mailed check,21.05,113.85,0,0,0,0,0,No,-1,-1,-1,-1,-1,-1,1
0280-XJGEX,9/1/2015,10/1/2019 0:00,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,0,0,0,0,1,Fiber optic,0,1,1,0,1,1,1
0281-CNTZX,11/1/2014,No,Two year,1,Bank transfer (automatic),19.95,1234.8,0,0,1,0,0,No,-1,-1,-1,-1,-1,-1,0
0282-NVSJS,2/1/2019,No,Month-to-month,1,Mailed check,29.3,355.9,1,1,1,1,-1,DSL,0,0,0,1,0,0,0
0285-INHLN,11/1/2017,No,Month-to-month,1,Credit card (automatic),54.75,1510.3,0,0,1,1,0,DSL,1,1,0,0,0,0,0
0289-IVARM,3/1/2017,No,Month-to-month,0,Electronic check,60.55,1982.6,1,0,0,0,0,DSL,1,1,1,0,0,0,0
0292-WEGCH,8/1/2015,No,Month-to-month,1,Electronic check,86.2,4524.05,1,0,1,1,1,DSL,0,1,1,1,1,1,0
0295-PPHDO,11/1/2019,12/1/2019 0:00,Month-to-month,1,Electronic check,95.45,95.45,0,0,0,0,1,Fiber optic,0,0,0,0,1,1,1
0295-QVKPB,9/1/2019,No,Month-to-month,1,Credit card (automatic),63.95,318.1,0,0,0,0,0,DSL,0,0,1,1,1,0,0
0297-RBCSG,7/1/2018,No,One year,1,Bank transfer (automatic),65.35,1231.85,0,0,0,0,0,DSL,0,1,0,1,0,1,0
0298-XACET,10/1/2015,No,Two year,0,Mailed check,50.2,2554,0,0,1,1,-1,DSL,0,1,1,1,1,0,0
0301-FIDRB,2/1/2014,No,Two year,1,Bank transfer (automatic),63.8,4684.3,1,0,1,1,-1,DSL,1,1,1,1,1,1,0
